case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,step_comments,comment,stacktrace,priority,severity,automation,type,tags,case_parameter
15,"Введение допустимого имя в поле","Поле ""Имя""",10,"Таисия К",194154,Passed,"2024-05-27 19:30:06",,,,,,,,"Not set",Normal,Manual,Other,,
25,"Введение имени используя спецсимволы","Поле ""Имя""",10,"Таисия К",8836,Passed,"2024-05-28 12:12:13",,,,,,,,"Not set",Normal,Manual,Other,,
20,"Введение данных на странице Шаг 1 с двойным именем через дефис","Поле ""Имя""",10,"Таисия К",8389,Passed,"2024-05-28 12:12:25","1. Открыть главную страницу сайта
2. Кликнуть на поле Имя
3. Ввести имя через дефис
4. Кликнуть на поле ""Email
5. Ввести Email
6. Кликнуть на поле Телефон
7. Ввести номер телефона
8. Кликнуть на кнопку Далее
","1. [https://qa-faculty.github.io/tariff-plan/](https://qa-faculty.github.io/tariff-plan/)
2. 
3. Иван Иванов-Иванов
4. 
5. eemail@gmail.com
6. 
7. +5874546451321
8. 
","1. Отображается Шаг 1
2. Поле имя активно
3. Отображено введенное имя в поле ""Имя""
4. Поле Email активно
5. Поле EОтображён введенный Emailmail активно
6. Поле Телефон активно
7. Отображен введенный номер телефона
8. Переходим на следующий шаг
","1.Untested
2.Untested
3.Untested
4.Untested
5.Untested
6.Untested
7.Untested
8.Untested
","1.
2.
3.
4.
5.
6.
7.
8.
",,,Medium,Normal,Manual,Other,,
28,"Поле ""E-mail""","Поле ""Имя""",10,"Таисия К",5753,Passed,"2024-05-28 12:12:34",,,,,,,,"Not set",Normal,Manual,Other,,
2,"Введение имя состоящего из одной буквы","Поле ""Имя""",10,"Таисия К",5532,Passed,"2024-05-28 12:12:43",,,,,,,,"Not set",Normal,Manual,Other,,
19,"Введение двойного имени через пробел","Поле ""Имя""",10,"Таисия К",17313,Passed,"2024-05-28 12:13:02",,,,,,,,"Not set",Normal,Manual,Other,,
3,"Введение  буквы недопустимого алфавита","Поле ""Имя""",10,"Таисия К",857,Passed,"2024-05-28 12:13:07",,,,,,,,"Not set",Normal,Manual,Other,,
4,"Введение имени более 30 символов","Поле ""Имя""",10,"Таисия К",8000,Failed,"2024-05-28 12:13:18",,,,,,"при введении имени более 30 символов не выдает Ошибка в поле Имя",,"Not set",Normal,Manual,Other,,
5,"Введение цифр","Поле ""Имя""",10,"Таисия К",5503,Passed,"2024-05-28 12:15:20",,,,,,,,"Not set",Normal,Manual,Other,,
10,"Введение данных на странице Шаг 1 с не валидным именем","Поле ""Имя""",10,"Таисия К",13688,Passed,"2024-05-28 12:15:38","1. Открыть главную страницу сайта
2. Кликнуть на поле Имя
3. Ввести имя из одной буквы
4. Кликнуть на поле ""Email""
5. Ввести Email
6. Кликнуть на поле Телефон
7. Ввести номер телефона
8. Кликнуть на кнопку Далее
","1. https://qa-faculty.github.io/tariff-plan/
2. 
3. а
4. 
5. eemail@gmail.com
6. +5874546451321
7. 
8. 
","1. Отображается Шаг 1
2. Поле имя активно
3. Отображено введенное имя в поле ""Имя""
4. Поле Email активно
5. Отображён введенный Email
6. Поле Телефон активно
7. Отображен введенный номер телефона
8. Ошибка в поле Имя
","1.Untested
2.Untested
3.Untested
4.Untested
5.Untested
6.Untested
7.Untested
8.Untested
","1.
2.
3.
4.
5.
6.
7.
8.
",,,Medium,Normal,Manual,Smoke,,
